0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,René Higuita,(1966-08-27)27 August 1966 (aged 23),33,Atlético Nacional
2,2,2DF,Andrés Escobar,(1967-03-13)13 March 1967 (aged 23),4,Young Boys
3,3,2DF,Gildardo Gómez,(1963-10-13)13 October 1963 (aged 26),0,Atlético Nacional
4,4,2DF,Luis Herrera,(1962-06-12)12 June 1962 (aged 27),4,Atlético Nacional
5,5,3MF,León Villa,(1960-01-12)12 January 1960 (aged 30),1,Atlético Nacional
6,6,2DF,José Ricardo Pérez,(1963-10-24)24 October 1963 (aged 26),2,Atlético Nacional
7,7,4FW,Carlos Estrada,(1961-11-01)1 November 1961 (aged 28),0,Millonarios
8,8,3MF,Gabriel Gómez,(1959-12-08)8 December 1959 (aged 30),5,Independiente Medellín
9,9,4FW,Miguel Guerrero,(1967-09-07)7 September 1967 (aged 22),0,América de Cali
10,10,3MF,Carlos Valderrama (c),(1961-09-02)2 September 1961 (aged 28),26,Montpellier
11,11,3MF,Bernardo Redín,(1963-02-26)26 February 1963 (aged 27),8,Deportivo Cali
12,12,1GK,Eduardo Niño,(1967-08-08)8 August 1967 (aged 22),0,Independiente Santa Fe
13,13,2DF,Carlos Hoyos,(1962-02-28)28 February 1962 (aged 28),24,Atlético Junior
14,14,3MF,Leonel Álvarez,(1965-07-29)29 July 1965 (aged 24),35,Atlético Nacional
15,15,2DF,Luis Carlos Perea,(1963-12-29)29 December 1963 (aged 26),33,Atlético Nacional
16,16,4FW,Arnoldo Iguarán,(1957-01-18)18 January 1957 (aged 33),58,Millonarios
17,17,2DF,Geovanis Cassiani,(1970-01-10)10 January 1970 (aged 20),0,Atlético Nacional
18,18,2DF,Wílmer Cabrera,(1967-09-15)15 September 1967 (aged 22),4,América de Cali
19,19,3MF,Freddy Rincón,(1966-08-14)14 August 1966 (aged 23),9,América de Cali
20,20,3MF,Luis Fajardo,(1963-08-18)18 August 1963 (aged 26),0,Atlético Nacional
21,21,2DF,Alexis Mendoza,(1961-11-08)8 November 1961 (aged 28),1,Atlético Junior
22,22,4FW,Rubén Darío Hernández,(1965-02-19)19 February 1965 (aged 25),1,Millonarios
