0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Abdullah Musa,(1958-03-02)2 March 1958 (aged 32),0,Al-Ahli
2,2,2DF,Khalil Ghanim,(1964-11-12)12 November 1964 (aged 25),4,Al Khaleej Club
3,3,3MF,Ali Thani Jumaa,(1968-08-18)18 August 1968 (aged 21),3,Sharjah
4,4,2DF,Mubarak Ghanim,(1963-09-03)3 September 1963 (aged 26),3,Al Khaleej Club
5,5,3MF,Abdualla Sultan,(1963-10-01)1 October 1963 (aged 26),4,Al Khaleej Club
6,6,2DF,Abdulrahman Mohamed,(1963-10-01)1 October 1963 (aged 26),0,Al-Nasr
7,7,4FW,Fahad Khamees (c),(1962-01-24)24 January 1962 (aged 28),2,Al-Wasl
8,8,3MF,Khalid Ismail,(1965-07-07)7 July 1965 (aged 24),3,Al-Nasr
9,9,4FW,Abdulaziz Mohamed,(1965-12-12)12 December 1965 (aged 24),0,Sharjah
10,10,4FW,Adnan Al Talyani,(1964-10-30)30 October 1964 (aged 25),4,Al Shaab
11,11,4FW,Zuhair Bakheet,(1967-07-13)13 July 1967 (aged 22),0,Al-Wasl
12,12,4FW,Hussain Ghuloum,(1969-09-24)24 September 1969 (aged 20),2,Sharjah
13,13,3MF,Hassan Mohamed,(1962-08-23)23 August 1962 (aged 27),4,Al-Wasl
14,14,3MF,Nasir Khamees,(1965-08-02)2 August 1965 (aged 24),0,Al-Wasl
15,15,2DF,Ibrahim Meer,(1967-07-16)16 July 1967 (aged 22),4,Sharjah
16,16,2DF,Mohamed Salim,(1968-01-13)13 January 1968 (aged 22),2,Al-Ahli
17,17,1GK,Muhsin Musabah,(1964-10-01)1 October 1964 (aged 25),4,Sharjah
18,18,3MF,Fahad Abdulrahman,(1962-10-10)10 October 1962 (aged 27),3,Al-Wasl
19,19,2DF,Eissa Meer,(1967-07-16)16 July 1967 (aged 22),2,Sharjah
20,20,2DF,Yousuf Hussain,(1965-07-08)8 July 1965 (aged 24),0,Sharjah
21,21,2DF,Abdulrahman Al-Haddad,(1966-03-23)23 March 1966 (aged 24),0,Sharjah
22,22,1GK,Abdulqadir Hassan,(1962-04-15)15 April 1962 (aged 28),8,Al Shabab
