0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Walter Zenga,(1960-04-28)28 April 1960 (aged 30),35,Internazionale
2,2,2DF,Franco Baresi,(1960-05-08)8 May 1960 (aged 30),39,Milan
3,3,2DF,Giuseppe Bergomi (c),(1963-12-22)22 December 1963 (aged 26),65,Internazionale
4,4,2DF,Luigi De Agostini,(1961-04-07)7 April 1961 (aged 29),24,Juventus
5,5,2DF,Ciro Ferrara,(1967-02-11)11 February 1967 (aged 23),16,Napoli
6,6,2DF,Riccardo Ferri,(1963-08-20)20 August 1963 (aged 26),29,Internazionale
7,7,2DF,Paolo Maldini,(1968-06-26)26 June 1968 (aged 21),19,Milan
8,8,2DF,Pietro Vierchowod,(1959-04-06)6 April 1959 (aged 31),29,Sampdoria
9,9,3MF,Carlo Ancelotti,(1959-06-10)10 June 1959 (aged 30),22,Milan
10,10,3MF,Nicola Berti,(1967-04-14)14 April 1967 (aged 23),11,Internazionale
11,11,3MF,Fernando De Napoli,(1964-03-15)15 March 1964 (aged 26),38,Napoli
12,12,1GK,Stefano Tacconi,(1957-05-13)13 May 1957 (aged 33),5,Juventus
13,13,3MF,Giuseppe Giannini,(1964-08-20)20 August 1964 (aged 25),34,Roma
14,14,3MF,Giancarlo Marocchi,(1965-07-04)4 July 1965 (aged 24),7,Juventus
15,15,4FW,Roberto Baggio,(1967-02-18)18 February 1967 (aged 23),8,Fiorentina
16,16,4FW,Andrea Carnevale,(1961-01-12)12 January 1961 (aged 29),8,Napoli
17,17,3MF,Roberto Donadoni,(1963-09-09)9 September 1963 (aged 26),29,Milan
18,18,4FW,Roberto Mancini,(1964-11-27)27 November 1964 (aged 25),20,Sampdoria
19,19,4FW,Salvatore Schillaci,(1964-12-01)1 December 1964 (aged 25),1,Juventus
20,20,4FW,Aldo Serena,(1960-06-25)25 June 1960 (aged 29),18,Internazionale
21,21,4FW,Gianluca Vialli,(1964-07-09)9 July 1964 (aged 25),42,Sampdoria
22,22,1GK,Gianluca Pagliuca,(1966-12-18)18 December 1966 (aged 23),0,Sampdoria
