0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Packie Bonner,(1960-05-24)24 May 1960 (aged 30),38,Celtic
2,2,2DF,Chris Morris,(1963-12-24)24 December 1963 (aged 26),21,Celtic
3,3,2DF,Steve Staunton,(1969-01-19)19 January 1969 (aged 21),13,Liverpool
4,4,2DF,Mick McCarthy (c),(1959-02-07)7 February 1959 (aged 31),42,Millwall
5,5,2DF,Kevin Moran,(1956-04-29)29 April 1956 (aged 34),55,Blackburn Rovers
6,6,3MF,Ronnie Whelan,(1961-09-25)25 September 1961 (aged 28),38,Liverpool
7,7,2DF,Paul McGrath,(1959-12-04)4 December 1959 (aged 30),36,Aston Villa
8,8,3MF,Ray Houghton,(1962-01-09)9 January 1962 (aged 28),29,Liverpool
9,9,4FW,John Aldridge,(1958-09-18)18 September 1958 (aged 31),30,Real Sociedad
10,10,4FW,Tony Cascarino,(1962-09-01)1 September 1962 (aged 27),21,Aston Villa
11,11,3MF,Kevin Sheedy,(1959-10-21)21 October 1959 (aged 30),28,Everton
12,12,2DF,David O'Leary,(1958-05-02)2 May 1958 (aged 32),51,Arsenal
13,13,3MF,Andy Townsend,(1963-07-23)23 July 1963 (aged 26),12,Norwich City
14,14,2DF,Chris Hughton,(1958-12-11)11 December 1958 (aged 31),50,Tottenham Hotspur
15,15,4FW,Bernie Slaven,(1960-11-13)13 November 1960 (aged 29),4,Middlesbrough
16,16,3MF,John Sheridan,(1964-10-01)1 October 1964 (aged 25),8,Sheffield Wednesday
17,17,4FW,Niall Quinn,(1966-10-06)6 October 1966 (aged 23),15,Manchester City
18,18,4FW,Frank Stapleton,(1956-07-10)10 July 1956 (aged 33),71,Blackburn Rovers
19,19,4FW,David Kelly,(1965-11-25)25 November 1965 (aged 24),6,Leicester City
20,20,4FW,John Byrne,(1961-02-01)1 February 1961 (aged 29),19,Le Havre
21,21,3MF,Alan McLoughlin,(1967-04-20)20 April 1967 (aged 23),1,Swindon Town
22,22,1GK,Gerry Peyton,(1956-05-20)20 May 1956 (aged 34),28,AFC Bournemouth
