0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Bodo Illgner,(1967-04-07)7 April 1967 (aged 23),15,1. FC Köln
2,2,2DF,Stefan Reuter,(1966-10-16)16 October 1966 (aged 23),16,Bayern Munich
3,3,2DF,Andreas Brehme,(1960-11-09)9 November 1960 (aged 29),51,Internazionale
4,4,2DF,Jürgen Kohler,(1965-10-06)6 October 1965 (aged 24),27,Bayern Munich
5,5,2DF,Klaus Augenthaler,(1957-09-26)26 September 1957 (aged 32),20,Bayern Munich
6,6,2DF,Guido Buchwald,(1961-01-24)24 January 1961 (aged 29),32,VfB Stuttgart
7,7,3MF,Pierre Littbarski,(1960-04-16)16 April 1960 (aged 30),67,1. FC Köln
8,8,3MF,Thomas Häßler,(1966-05-30)30 May 1966 (aged 24),12,1. FC Köln
9,9,4FW,Rudi Völler,(1960-04-13)13 April 1960 (aged 30),63,Roma
10,10,3MF,Lothar Matthäus (c),(1961-03-21)21 March 1961 (aged 29),74,Internazionale
11,11,4FW,Frank Mill,(1958-07-23)23 July 1958 (aged 31),17,Borussia Dortmund
12,12,1GK,Raimond Aumann,(1963-10-12)12 October 1963 (aged 26),3,Bayern Munich
13,13,4FW,Karl-Heinz Riedle,(1965-09-16)16 September 1965 (aged 24),6,Werder Bremen
14,14,2DF,Thomas Berthold,(1964-11-12)12 November 1964 (aged 25),35,Roma
15,15,3MF,Uwe Bein,(1960-09-26)26 September 1960 (aged 29),6,Eintracht Frankfurt
16,16,2DF,Paul Steiner,(1957-01-23)23 January 1957 (aged 33),1,1. FC Köln
17,17,3MF,Andreas Möller,(1967-09-02)2 September 1967 (aged 22),10,Borussia Dortmund
18,18,4FW,Jürgen Klinsmann,(1964-07-30)30 July 1964 (aged 25),18,Internazionale
19,19,2DF,Hans Pflügler,(1960-03-27)27 March 1960 (aged 30),10,Bayern Munich
20,20,3MF,Olaf Thon,(1966-05-01)1 May 1966 (aged 24),33,Bayern Munich
21,21,3MF,Günter Hermann,(1960-12-05)5 December 1960 (aged 29),2,Werder Bremen
22,22,1GK,Andreas Köpke,(1962-03-12)12 March 1962 (aged 28),1,1. FC Nürnberg
