0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Joseph-Antoine Bell,(1954-10-08)8 October 1954 (aged 35),3,Bordeaux
2,2,2DF,André Kana-Biyik,(1965-09-01)1 September 1965 (aged 24),41,Metz
3,3,3MF,Jules Onana,(1964-06-12)12 June 1964 (aged 25),6,Canon Yaoundé
4,4,2DF,Benjamin Massing,(1962-06-20)20 June 1962 (aged 27),0,Créteil
5,5,2DF,Bertin Ebwellé,(1962-09-11)11 September 1962 (aged 27),16,Tonnerre Yaoundé
6,6,2DF,Emmanuel Kundé,(1956-07-15)15 July 1956 (aged 33),82,Prévoyance Yaoundé
7,7,4FW,François Omam-Biyik,(1966-05-21)21 May 1966 (aged 24),34,Stade Lavallois
8,8,3MF,Émile Mbouh,(1966-05-30)30 May 1966 (aged 24),38,Chênois
9,9,4FW,Roger Milla,(1952-05-20)20 May 1952 (aged 38),56,JS Saint-Pierroise
10,10,3MF,Louis-Paul M'Fédé,(1961-02-26)26 February 1961 (aged 29),40,Canon Yaoundé
11,11,4FW,Eugène Ekéké,(1960-05-30)30 May 1960 (aged 30),2,Valenciennes
12,12,2DF,Alphonse Yombi,(1969-06-30)30 June 1969 (aged 20),?,Canon Yaoundé
13,13,2DF,Jean-Claude Pagal,(1964-09-15)15 September 1964 (aged 25),0,La Roche Vendée
14,14,2DF,Stephen Tataw (c),(1963-03-31)31 March 1963 (aged 27),29,Tonnerre Yaoundé
15,15,3MF,Thomas Libiih,(1967-11-17)17 November 1967 (aged 22),0,Tonnerre Yaoundé
16,16,1GK,Thomas N'Kono,(1956-07-20)20 July 1956 (aged 33),57,Espanyol
17,17,2DF,Victor N'Dip,(1967-08-20)20 August 1967 (aged 22),16,Canon Yaoundé
18,18,4FW,Bonaventure Djonkep,(1961-08-20)20 August 1961 (aged 28),49,Union Douala
19,19,3MF,Roger Feutmba,(1968-10-31)31 October 1968 (aged 21),0,Union Douala
20,20,3MF,Cyrille Makanaky,(1965-06-28)28 June 1965 (aged 24),0,Toulon
21,21,3MF,Emmanuel Maboang,(1968-11-27)27 November 1968 (aged 21),0,Canon Yaoundé
22,22,1GK,Jacques Songo'o,(1964-03-17)17 March 1964 (aged 26),38,Toulon
