0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Luis Gabelo Conejo,(1960-01-01)1 January 1960 (aged 30),32,Ramonense
2,2,2DF,Vladimir Quesada,(1966-05-12)12 May 1966 (aged 24),0,Saprissa
3,3,2DF,Róger Flores (c),(1959-05-26)26 May 1959 (aged 31),0,Saprissa
4,4,2DF,Rónald González Brenes,(1970-08-08)8 August 1970 (aged 19),4,Saprissa
5,5,2DF,Marvin Obando,(1960-04-04)4 April 1960 (aged 30),6,Herediano
6,6,3MF,José Carlos Chaves,(1958-09-03)3 September 1958 (aged 31),0,Alajuelense
7,7,4FW,Hernán Medford,(1968-05-23)23 May 1968 (aged 22),18,Saprissa
8,8,3MF,Germán Chavarría,(1958-03-19)19 March 1958 (aged 32),3,Herediano
9,9,3MF,Alexandre Guimarães,(1959-11-07)7 November 1959 (aged 30),0,Saprissa
10,10,3MF,Oscar Ramírez,(1964-12-08)8 December 1964 (aged 25),25,Alajuelense
11,11,4FW,Claudio Jara,(1959-05-06)6 May 1959 (aged 31),0,Herediano
12,12,3MF,Róger Gómez,(1965-02-07)7 February 1965 (aged 25),0,Cartaginés
13,13,3MF,Miguel Davis,(1966-06-18)18 June 1966 (aged 23),?,Alajuelense
14,14,3MF,Juan Cayasso,(1961-06-24)24 June 1961 (aged 28),1,Saprissa
15,15,2DF,Rónald Marín,(1962-11-02)2 November 1962 (aged 27),3,Herediano
16,16,4FW,José Jaikel,(1966-04-03)3 April 1966 (aged 24),?,Saprissa
17,17,3MF,Roy Myers,(1969-04-13)13 April 1969 (aged 21),0,Limonense
18,18,2DF,Geovanny Jara,(1967-07-20)20 July 1967 (aged 22),0,Herediano
19,19,2DF,Héctor Marchena,(1965-01-04)4 January 1965 (aged 25),0,Cartaginés
20,20,2DF,Mauricio Montero,(1963-10-19)19 October 1963 (aged 26),21,Alajuelense
21,21,1GK,Hermidio Barrantes,(1964-09-02)2 September 1964 (aged 25),0,Municipal Puntarenas
22,22,1GK,Miguel Segura,(1963-09-02)2 September 1963 (aged 26),?,Saprissa
