0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Tony Meola,(1969-02-21)21 February 1969 (aged 21),17,Virginia Cavaliers
2,2,2DF,Steve Trittschuh,(1965-04-24)24 April 1965 (aged 25),29,Tampa Bay Rowdies
3,3,2DF,John Doyle,(1966-03-16)16 March 1966 (aged 24),21,S.F. Bay Blackhawks
4,4,2DF,Jimmy Banks,(1964-09-02)2 September 1964 (aged 25),26,Milwaukee Wave
5,5,2DF,Mike Windischmann (c),(1965-12-06)6 December 1965 (aged 24),42,Albany Capitals
6,6,3MF,John Harkes,(1967-03-08)8 March 1967 (aged 23),28,Albany Capitals
7,7,3MF,Tab Ramos,(1966-09-21)21 September 1966 (aged 23),23,Figueres
8,8,2DF,Brian Bliss,(1965-09-28)28 September 1965 (aged 24),23,Albany Capitals
9,9,4FW,Christopher Sullivan,(1965-04-18)18 April 1965 (aged 25),15,Győri
10,10,4FW,Peter Vermes,(1966-11-21)21 November 1966 (aged 23),20,Volendam
11,11,4FW,Eric Wynalda,(1969-06-09)9 June 1969 (aged 20),13,S.F. Bay Blackhawks
12,12,2DF,Paul Krumpe,(1963-03-04)4 March 1963 (aged 27),16,Real Santa Barbara
13,13,4FW,Eric Eichmann,(1965-05-07)7 May 1965 (aged 25),21,Fort Lauderdale Strikers
14,14,3MF,John Stollmeyer,(1962-10-25)25 October 1962 (aged 27),28,Washington Stars
15,15,2DF,Desmond Armstrong,(1964-11-02)2 November 1964 (aged 25),14,Baltimore Blast
16,16,4FW,Bruce Murray,(1966-01-25)25 January 1966 (aged 24),38,Washington Stars
17,17,2DF,Marcelo Balboa,(1967-08-08)8 August 1967 (aged 22),18,San Diego Nomads
18,18,1GK,Kasey Keller,(1969-11-29)29 November 1969 (aged 20),6,Portland Timbers
19,19,3MF,Chris Henderson,(1970-12-11)11 December 1970 (aged 19),5,UCLA Bruins
20,20,3MF,Paul Caligiuri,(1964-03-09)9 March 1964 (aged 26),33,SV Meppen
21,21,3MF,Neil Covone,(1969-08-31)31 August 1969 (aged 20),5,Wake Forest Demon Deacons
22,22,1GK,David Vanole,(1963-02-06)6 February 1963 (aged 27),13,Los Angeles Heat
