0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Sven Andersson,(1963-10-06)6 October 1963 (aged 26),1,Örgryte
2,2,2DF,Jan Eriksson,(1967-08-24)24 August 1967 (aged 22),1,AIK
3,3,2DF,Glenn Hysén (c),(1959-10-30)30 October 1959 (aged 30),64,Liverpool
4,4,2DF,Peter Larsson,(1961-03-08)8 March 1961 (aged 29),36,Ajax
5,5,2DF,Roger Ljung,(1966-01-08)8 January 1966 (aged 24),19,Young Boys
6,6,2DF,Roland Nilsson,(1963-11-27)27 November 1963 (aged 26),32,Sheffield Wednesday
7,7,3MF,Niklas Nyhlén,(1966-03-21)21 March 1966 (aged 24),8,Malmö FF
8,8,3MF,Stefan Schwarz,(1969-04-18)18 April 1969 (aged 21),6,Malmö FF
9,9,3MF,Leif Engqvist,(1962-07-30)30 July 1962 (aged 27),15,Malmö FF
10,10,3MF,Klas Ingesson,(1968-08-20)20 August 1968 (aged 21),11,IFK Göteborg
11,11,3MF,Ulrik Jansson,(1968-02-02)2 February 1968 (aged 22),0,Östers IF
12,12,1GK,Lars Eriksson,(1965-09-21)21 September 1965 (aged 24),3,IFK Norrköping
13,13,3MF,Anders Limpar,(1965-09-24)24 September 1965 (aged 24),21,Cremonese
14,14,3MF,Joakim Nilsson,(1966-03-31)31 March 1966 (aged 24),19,Malmö FF
15,15,3MF,Glenn Strömberg,(1960-01-05)5 January 1960 (aged 30),49,Atalanta
16,16,3MF,Jonas Thern,(1967-03-20)20 March 1967 (aged 23),21,Benfica
17,17,4FW,Tomas Brolin,(1969-11-29)29 November 1969 (aged 20),2,IFK Norrköping
18,18,4FW,Johnny Ekström,(1965-03-05)5 March 1965 (aged 25),32,Cannes
19,19,2DF,Mats Gren,(1963-12-20)20 December 1963 (aged 26),10,Grasshopper
20,20,4FW,Mats Magnusson,(1963-07-10)10 July 1963 (aged 26),29,Benfica
21,21,4FW,Stefan Pettersson,(1963-03-22)22 March 1963 (aged 27),19,Ajax
22,22,1GK,Thomas Ravelli,(1959-08-13)13 August 1959 (aged 30),72,IFK Göteborg
