rank,city,avg,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,,,,,,,,,,,,,,
2,"Patna, India",212,354,297,225,230,169,183,82,100,84,136,402,277
3,"Saharsa, India",207,418,344,238,220,167,149,85,93,91,110,282,292
4,"New Delhi, India",205,325,244,167,181,175,124,70,110,91,210,405,352
5,"Noida, India",201,304,212,154,187,176,129,70,125,118,237,367,338
6,"Kashgar, China",197,283,175,288,285,184,99,106,135,126,118,206,355
7,"Ghaziabad, India",190,302,216,155,175,164,124,68,101,98,185,360,332
8,"Faridabad, India",186,295,210,149,155,143,118,72,100,93,198,356,337
9,"Aksu, China",185,210,141,285,412,105,84,76,85,100,103,210,406
10,"Purnea, India",182,398,305,218,187,109,101,57,72,70,131,252,280
11,"Meerut, India",180,279,251,156,170,157,105,40,85,84,204,334,295
12,"Bhagalpur, India",179,373,263,179,168,129,112,64,74,83,136,297,272
13,"Muzaffarpur, India",179,351,288,205,217,147,133,65,66,63,119,279,213
14,"Sonipat, India",179,231,194,142,167,166,114,72,112,112,212,330,290
15,"Dubrovytsya, Ukraine",174,6,,,172,306,338,286,150,172,300,182,170
16,"Birganj, Nepal",171,326,289,201,183,136,140,77,88,96,112,228,177
17,"Rajmahal, India",165,355,268,182,158,95,105,61,77,64,111,242,257
18,"Muzaffarnagar, India",163,224,191,139,159,155,101,57,97,89,186,246,306
19,"Balurghat, India",161,376,299,187,163,94,98,48,63,61,103,211,227
20,"Dhaka, Bangladesh",161,303,195,184,116,125,100,51,107,83,158,223,284
21,"Bhiwadi, India",157,238,190,110,127,126,100,67,85,90,152,305,294
22,"Ingraj Bazar, India",155,331,252,171,148,95,99,58,74,61,100,232,235
23,"Raiganj, India",153,367,296,187,161,96,91,38,54,56,93,185,206
24,"Rohtak, India",153,205,140,92,107,142,104,62,88,79,193,338,287
25,"Agartala, India",150,256,231,181,166,109,80,50,84,75,132,198,240
26,"Ndjamena, Chad",147,221,326,189,285,-,-,-,38,35,207,228,235
27,"Bulandshahr, India",141,210,149,108,112,103,95,67,96,102,157,247,242
28,"Zahedan, Iran",141,53,85,66,106,113,215,272,220,176,159,119,104
