0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Tomislav Ivković,(1960-08-11)11 August 1960 (aged 29),26,Sporting CP
2,2,2DF,Vujadin Stanojković,(1963-09-10)10 September 1963 (aged 26),16,Partizan
3,3,2DF,Predrag Spasić,(1965-05-13)13 May 1965 (aged 25),18,Partizan
4,4,2DF,Zoran Vulić,(1961-10-04)4 October 1961 (aged 28),15,Mallorca
5,5,2DF,Faruk Hadžibegić,(1957-10-07)7 October 1957 (aged 32),45,Sochaux
6,6,2DF,Davor Jozić,(1960-09-22)22 September 1960 (aged 29),17,Cesena
7,7,3MF,Dragoljub Brnović,(1963-11-02)2 November 1963 (aged 26),20,Metz
8,8,3MF,Safet Sušić,(1955-04-13)13 April 1955 (aged 35),47,Paris Saint-Germain
9,9,4FW,Darko Pančev,(1965-09-07)7 September 1965 (aged 24),14,Red Star Belgrade
10,10,3MF,Dragan Stojković,(1965-03-03)3 March 1965 (aged 25),33,Red Star Belgrade
11,11,4FW,Zlatko Vujović (c),(1958-08-26)26 August 1958 (aged 31),63,Paris Saint-Germain
12,12,1GK,Fahrudin Omerović,(1961-08-26)26 August 1961 (aged 28),0,Partizan
13,13,3MF,Srečko Katanec,(1963-07-16)16 July 1963 (aged 26),26,Sampdoria
14,14,4FW,Alen Bokšić,(1970-01-21)21 January 1970 (aged 20),0,Hajduk Split
15,15,3MF,Robert Prosinečki,(1969-01-12)12 January 1969 (aged 21),7,Red Star Belgrade
16,16,3MF,Refik Šabanadžović,(1965-08-02)2 August 1965 (aged 24),4,Red Star Belgrade
17,17,3MF,Robert Jarni,(1968-10-26)26 October 1968 (aged 21),1,Hajduk Split
18,18,2DF,Mirsad Baljić,(1962-03-04)4 March 1962 (aged 28),28,Sion
19,19,3MF,Dejan Savićević,(1966-09-15)15 September 1966 (aged 23),13,Red Star Belgrade
20,20,4FW,Davor Šuker,(1968-01-01)1 January 1968 (aged 22),0,Dinamo Zagreb
21,21,2DF,Andrej Panadić,(1969-03-09)9 March 1969 (aged 21),3,Dinamo Zagreb
22,22,1GK,Dragoje Leković,(1967-11-21)21 November 1967 (aged 22),3,Budućnost Titograd
