0,Nº,Country,Coaches
1,2,Brazil,"Sebastião Lazaroni, Carlos Alberto Parreira (United Arab Emirates)"
2,England,"Jack Charlton (Republic of Ireland), Bobby Robson",
3,Soviet Union,"Valeriy Lobanovskyi, Valery Nepomnyashchy (Cameroon)",
4,Yugoslavia,"Bora Milutinović (Costa Rica), Ivica Osim",
5,1,Argentina,Carlos Bilardo
6,Austria,Josef Hickersberger,
7,Belgium,Guy Thys,
8,Colombia,Francisco Maturana,
9,Czechoslovakia,Jozef Vengloš,
10,Egypt,Mahmoud Al-Gohari,
11,Italy,Azeglio Vicini,
12,Netherlands,Leo Beenhakker,
13,Romania,Emerich Jenei,
14,Scotland,Andy Roxburgh,
15,South Korea,Lee Hoe-taik,
16,Spain,Luis Suárez,
17,Sweden,Olle Nordin,
18,United States,Bob Gansler,
19,Uruguay,Óscar Tabárez,
20,West Germany,Franz Beckenbauer,
