0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Andoni Zubizarreta,(1961-10-23)23 October 1961 (aged 28),49,Barcelona
2,2,2DF,Chendo,(1961-10-12)12 October 1961 (aged 28),22,Real Madrid
3,3,2DF,Manolo Jiménez,(1964-01-21)21 January 1964 (aged 26),13,Sevilla
4,4,2DF,Genar Andrinúa,(1964-05-09)9 May 1964 (aged 26),24,Athletic Bilbao
5,5,2DF,Manolo Sanchís,(1965-05-23)23 May 1965 (aged 25),30,Real Madrid
6,6,3MF,Rafael Martín Vázquez,(1965-09-25)25 September 1965 (aged 24),22,Real Madrid
7,7,4FW,Miguel Pardeza,(1965-02-08)8 February 1965 (aged 25),4,Real Zaragoza
8,8,2DF,Quique Sánchez Flores,(1965-02-02)2 February 1965 (aged 25),11,Valencia
9,9,4FW,Emilio Butragueño (c),(1963-07-22)22 July 1963 (aged 26),49,Real Madrid
10,10,3MF,Fernando,(1965-09-11)11 September 1965 (aged 24),2,Valencia
11,11,3MF,Francisco Villarroya,(1966-08-06)6 August 1966 (aged 23),7,Real Zaragoza
12,12,2DF,Rafael Alkorta,(1968-09-16)16 September 1968 (aged 21),1,Athletic Bilbao
13,13,1GK,Juan Carlos Ablanedo,(1963-09-02)2 September 1963 (aged 26),2,Sporting Gijón
14,14,2DF,Alberto Górriz,(1958-02-16)16 February 1958 (aged 32),8,Real Sociedad
15,15,3MF,Roberto,(1962-07-05)5 July 1962 (aged 27),22,Barcelona
16,16,3MF,José Mari Bakero,(1963-02-11)11 February 1963 (aged 27),11,Barcelona
17,17,3MF,Fernando Hierro,(1968-03-23)23 March 1968 (aged 22),2,Real Madrid
18,18,3MF,Rafael Paz,(1965-08-02)2 August 1965 (aged 24),3,Sevilla
19,19,4FW,Julio Salinas,(1962-09-11)11 September 1962 (aged 27),26,Barcelona
20,20,4FW,Manolo,(1965-01-17)17 January 1965 (aged 25),13,Atlético Madrid
21,21,3MF,Míchel,(1963-03-23)23 March 1963 (aged 27),44,Real Madrid
22,22,1GK,José Manuel Ochotorena,(1961-01-16)16 January 1961 (aged 29),1,Valencia
