0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Fernando Álvez,(1959-09-04)4 September 1959 (aged 30),15,Peñarol
2,2,2DF,Nelson Gutiérrez,(1962-04-13)13 April 1962 (aged 28),53,Hellas Verona
3,3,2DF,Hugo de León,(1958-02-27)27 February 1958 (aged 32),44,River Plate
4,4,2DF,José Oscar Herrera,(1965-06-17)17 June 1965 (aged 24),27,Figueres
5,5,3MF,José Perdomo,(1965-01-05)5 January 1965 (aged 25),23,Genoa
6,6,2DF,Alfonso Domínguez,(1965-09-24)24 September 1965 (aged 24),27,Peñarol
7,7,4FW,Antonio Alzamendi,(1956-06-07)7 June 1956 (aged 34),28,Logroñés
8,8,3MF,Santiago Ostolaza,(1962-07-10)10 July 1962 (aged 27),25,Cruz Azul
9,9,4FW,Enzo Francescoli (c),(1961-11-12)12 November 1961 (aged 28),42,Marseille
10,10,3MF,Rubén Paz,(1959-08-08)8 August 1959 (aged 30),42,Genoa
11,11,4FW,Rubén Sosa,(1966-04-25)25 April 1966 (aged 24),27,Lazio
12,12,1GK,Eduardo Pereira,(1954-03-21)21 March 1954 (aged 36),10,Independiente
13,13,2DF,Daniel Revelez,(1959-09-30)30 September 1959 (aged 30),12,Nacional
14,14,2DF,José Pintos Saldanha,(1964-03-25)25 March 1964 (aged 26),9,Nacional
15,15,3MF,Gabriel Correa,(1968-01-13)13 January 1968 (aged 22),18,Peñarol
16,16,3MF,Pablo Bengoechea,(1965-06-27)27 June 1965 (aged 24),17,Sevilla
17,17,4FW,Sergio Martínez,(1969-02-15)15 February 1969 (aged 21),14,Defensor Sporting
18,18,4FW,Carlos Aguilera,(1964-09-21)21 September 1964 (aged 25),50,Genoa
19,19,4FW,Daniel Fonseca,(1969-09-13)13 September 1969 (aged 20),4,Nacional
20,20,3MF,Ruben Pereira,(1968-01-28)28 January 1968 (aged 22),18,Danubio
21,21,3MF,William Castro,(1962-05-22)22 May 1962 (aged 28),8,Nacional
22,22,1GK,Javier Zeoli,(1962-05-02)2 May 1962 (aged 28),14,Tenerife
