0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Silviu Lung (c),(1956-09-09)9 September 1956 (aged 33),65,Steaua București
2,2,2DF,Mircea Rednic,(1962-04-09)9 April 1962 (aged 28),74,Dinamo București
3,3,2DF,Michael Klein,(1959-10-10)10 October 1959 (aged 30),78,Dinamo București
4,4,2DF,Ioan Andone,(1960-03-15)15 March 1960 (aged 30),49,Dinamo București
5,5,3MF,Iosif Rotariu,(1962-09-27)27 September 1962 (aged 27),11,Steaua București
6,6,2DF,Gheorghe Popescu,(1967-10-09)9 October 1967 (aged 22),18,Universitatea Craiova
7,7,4FW,Marius Lăcătuș,(1964-04-05)5 April 1964 (aged 26),38,Steaua București
8,8,3MF,Ioan Sabău,(1968-02-12)12 February 1968 (aged 22),21,Dinamo București
9,9,4FW,Rodion Cămătaru,(1958-06-22)22 June 1958 (aged 31),74,Charleroi
10,10,3MF,Gheorghe Hagi,(1965-02-05)5 February 1965 (aged 25),59,Steaua București
11,11,3MF,Dănuț Lupu,(1967-02-27)27 February 1967 (aged 23),7,Dinamo București
12,12,1GK,Bogdan Stelea,(1967-12-05)5 December 1967 (aged 22),3,Dinamo București
13,13,2DF,Adrian Popescu,(1960-06-26)26 June 1960 (aged 29),1,Universitatea Craiova
14,14,4FW,Florin Răducioiu,(1970-03-17)17 March 1970 (aged 20),3,Dinamo București
15,15,3MF,Dorin Mateuț,(1965-08-05)5 August 1965 (aged 24),45,Dinamo București
16,16,3MF,Daniel Timofte,(1967-10-01)1 October 1967 (aged 22),4,Dinamo București
17,17,4FW,Ilie Dumitrescu,(1969-01-06)6 January 1969 (aged 21),9,Steaua București
18,18,4FW,Gabi Balint,(1963-01-03)3 January 1963 (aged 27),24,Steaua București
19,19,2DF,Emil Săndoi,(1965-03-01)1 March 1965 (aged 25),8,Universitatea Craiova
20,20,3MF,Zsolt Muzsnay,(1965-08-20)20 August 1965 (aged 24),6,Steaua București
21,21,3MF,Ioan Lupescu,(1968-12-09)9 December 1968 (aged 21),4,Dinamo București
22,22,1GK,Gheorghe Liliac,(1959-04-22)22 April 1959 (aged 31),2,Petrolul Ploiești
