0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Rinat Dasayev (c),(1957-06-13)13 June 1957 (aged 32),90,Sevilla
2,2,2DF,Volodymyr Bezsonov,(1958-03-05)5 March 1958 (aged 32),77,Dynamo Kyiv
3,3,2DF,Vagiz Khidiyatullin,(1959-03-03)3 March 1959 (aged 31),55,Toulouse
4,4,2DF,Oleh Kuznetsov,(1963-03-22)22 March 1963 (aged 27),49,Dynamo Kyiv
5,5,2DF,Anatoliy Demyanenko,(1959-02-19)19 February 1959 (aged 31),79,Dynamo Kyiv
6,6,3MF,Vasyl Rats,(1961-04-25)25 April 1961 (aged 29),46,Dynamo Kyiv
7,7,3MF,Sergei Aleinikov,(1961-11-07)7 November 1961 (aged 28),61,Juventus
8,8,3MF,Gennadiy Lytovchenko,(1963-09-11)11 September 1963 (aged 26),54,Dynamo Kyiv
9,9,3MF,Oleksandr Zavarov,(1961-04-20)20 April 1961 (aged 29),38,Juventus
10,10,4FW,Oleh Protasov,(1964-02-04)4 February 1964 (aged 26),60,Dynamo Kyiv
11,11,4FW,Igor Dobrovolski,(1967-08-27)27 August 1967 (aged 22),13,Dynamo Moscow
12,12,3MF,Aleksandr Borodyuk,(1962-11-30)30 November 1962 (aged 27),5,Schalke 04
13,13,2DF,Akhrik Tsveiba,(1966-09-10)10 September 1966 (aged 23),3,Dynamo Kyiv
14,14,4FW,Volodymyr Lyutyi,(1962-04-24)24 April 1962 (aged 28),2,Schalke 04
15,15,3MF,Ivan Yaremchuk,(1962-03-19)19 March 1962 (aged 28),16,Dynamo Kyiv
16,16,1GK,Viktor Chanov,(1959-07-21)21 July 1959 (aged 30),21,Dynamo Kyiv
17,17,3MF,Andrei Zygmantovich,(1962-12-02)2 December 1962 (aged 27),34,Dynamo Minsk
18,18,3MF,Igor Shalimov,(1969-02-02)2 February 1969 (aged 21),0,Spartak Moscow
19,19,2DF,Sergei Fokin,(1961-07-26)26 July 1961 (aged 28),3,CSKA Moscow
20,20,2DF,Sergei Gorlukovich,(1961-11-18)18 November 1961 (aged 28),15,Borussia Dortmund
21,21,3MF,Valeri Broshin,(1962-10-19)19 October 1962 (aged 27),2,CSKA Moscow
22,22,1GK,Aleksandr Uvarov,(1960-01-13)13 January 1960 (aged 30),1,Dynamo Moscow
