0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Michel Preud'homme,(1959-01-24)24 January 1959 (aged 31),23,Mechelen
2,2,2DF,Eric Gerets,(1954-05-18)18 May 1954 (aged 36),80,PSV
3,3,2DF,Philippe Albert,(1967-08-10)10 August 1967 (aged 22),7,Mechelen
4,4,2DF,Lei Clijsters,(1956-11-06)6 November 1956 (aged 33),36,Mechelen
5,5,3MF,Bruno Versavel,(1967-08-27)27 August 1967 (aged 22),14,Mechelen
6,6,3MF,Marc Emmers,(1966-02-25)25 February 1966 (aged 24),16,Mechelen
7,7,2DF,Stéphane Demol,(1966-03-11)11 March 1966 (aged 24),29,Porto
8,8,3MF,Franky Van der Elst,(1961-04-30)30 April 1961 (aged 29),37,Club Brugge
9,9,4FW,Marc Degryse,(1965-09-04)4 September 1965 (aged 24),24,Anderlecht
10,10,3MF,Enzo Scifo,(1966-02-19)19 February 1966 (aged 24),39,Auxerre
11,11,3MF,Jan Ceulemans (c),(1957-02-28)28 February 1957 (aged 33),88,Club Brugge
12,12,1GK,Gilbert Bodart,(1962-09-02)2 September 1962 (aged 27),5,Standard Liège
13,13,2DF,Georges Grün,(1962-01-25)25 January 1962 (aged 28),47,Anderlecht
14,14,4FW,Nico Claesen,(1962-10-07)7 October 1962 (aged 27),35,Royal Antwerp
15,15,2DF,Jean-François De Sart,(1961-12-18)18 December 1961 (aged 28),3,FC Liège
16,16,2DF,Michel De Wolf,(1958-01-19)19 January 1958 (aged 32),27,Kortrijk
17,17,2DF,Pascal Plovie,(1965-05-07)7 May 1965 (aged 25),2,Club Brugge
18,18,3MF,Lorenzo Staelens,(1964-04-30)30 April 1964 (aged 26),1,Club Brugge
19,19,4FW,Marc Van Der Linden,(1964-02-04)4 February 1964 (aged 26),17,Anderlecht
20,20,1GK,Filip De Wilde,(1964-07-05)5 July 1964 (aged 25),2,Anderlecht
21,21,3MF,Marc Wilmots,(1969-02-22)22 February 1969 (aged 21),2,Mechelen
22,22,3MF,Patrick Vervoort,(1965-01-17)17 January 1965 (aged 25),27,Anderlecht
