0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Cláudio Taffarel,(1966-05-08)8 May 1966 (aged 24),26,Internacional
2,2,2DF,Jorginho,(1964-08-17)17 August 1964 (aged 25),22,Bayer Leverkusen
3,3,2DF,Ricardo Gomes (c),(1964-12-13)13 December 1964 (aged 25),30,Benfica
4,4,3MF,Dunga,(1963-10-31)31 October 1963 (aged 26),21,Fiorentina
5,5,3MF,Alemão,(1961-11-22)22 November 1961 (aged 28),32,Napoli
6,6,2DF,Branco,(1964-04-04)4 April 1964 (aged 26),34,Porto
7,7,3MF,Bismarck,(1969-09-11)11 September 1969 (aged 20),10,Vasco da Gama
8,8,3MF,Valdo,(1964-01-12)12 January 1964 (aged 26),38,Benfica
9,9,4FW,Careca,(1960-10-05)5 October 1960 (aged 29),46,Napoli
10,10,3MF,Paulo Silas,(1965-08-27)27 August 1965 (aged 24),29,Sporting CP
11,11,4FW,Romário,(1966-01-29)29 January 1966 (aged 24),24,PSV
12,12,1GK,Acácio,(1959-01-20)20 January 1959 (aged 31),6,Vasco da Gama
13,13,2DF,Carlos Mozer,(1960-09-19)19 September 1960 (aged 29),27,Marseille
14,14,2DF,Aldair,(1965-11-30)30 November 1965 (aged 24),18,Benfica
15,15,4FW,Müller,(1966-01-31)31 January 1966 (aged 24),31,Torino
16,16,4FW,Bebeto,(1964-02-16)16 February 1964 (aged 26),26,Vasco da Gama
17,17,4FW,Renato Gaúcho,(1962-09-09)9 September 1962 (aged 27),23,Flamengo
18,18,2DF,Mazinho,(1966-04-08)8 April 1966 (aged 24),17,Vasco da Gama
19,19,2DF,Ricardo Rocha,(1962-09-11)11 September 1962 (aged 27),14,São Paulo
20,20,3MF,Tita,(1958-04-01)1 April 1958 (aged 32),31,Vasco da Gama
21,21,2DF,Mauro Galvão,(1961-12-19)19 December 1961 (aged 28),20,Botafogo
22,22,1GK,Zé Carlos,(1962-02-07)7 February 1962 (aged 28),3,Flamengo
