0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Jan Stejskal,(1962-01-15)15 January 1962 (aged 28),16,Sparta Prague
2,2,2DF,Július Bielik,(1962-03-08)8 March 1962 (aged 28),16,Sparta Prague
3,3,2DF,Miroslav Kadlec,(1964-06-22)22 June 1964 (aged 25),20,TJ Vítkovice
4,4,3MF,Ivan Hašek (c),(1963-09-06)6 September 1963 (aged 26),42,Sparta Prague
5,5,2DF,Ján Kocian,(1958-03-13)13 March 1958 (aged 32),13,FC St. Pauli
6,6,2DF,František Straka,(1958-05-21)21 May 1958 (aged 32),32,Borussia Mönchengladbach
7,7,3MF,Michal Bílek,(1965-04-13)13 April 1965 (aged 25),20,Sparta Prague
8,8,3MF,Jozef Chovanec,(1960-03-07)7 March 1960 (aged 30),42,PSV
9,9,2DF,Luboš Kubík,(1964-01-20)20 January 1964 (aged 26),21,Fiorentina
10,10,4FW,Tomáš Skuhravý,(1965-09-07)7 September 1965 (aged 24),22,Sparta Prague
11,11,3MF,Ľubomír Moravčík,(1965-06-22)22 June 1965 (aged 24),16,Plastika Nitra
12,12,2DF,Peter Fieber,(1964-05-16)16 May 1964 (aged 26),3,Dunajská Streda
13,13,3MF,Jiří Němec,(1966-05-15)15 May 1966 (aged 24),1,Dukla Prague
14,14,3MF,Vladimír Weiss,(1964-09-22)22 September 1964 (aged 25),15,Inter Bratislava
15,15,2DF,Vladimír Kinier,(1958-04-06)6 April 1958 (aged 32),9,Slovan Bratislava
16,16,4FW,Viliam Hýravý,(1962-11-26)26 November 1962 (aged 27),10,Baník Ostrava
17,17,4FW,Ivo Knoflíček,(1962-02-23)23 February 1962 (aged 28),28,FC St. Pauli
18,18,4FW,Milan Luhový,(1963-01-01)1 January 1963 (aged 27),28,Sporting Gijón
19,19,4FW,Stanislav Griga,(1961-11-04)4 November 1961 (aged 28),32,Feyenoord
20,20,3MF,Václav Němeček,(1967-01-25)25 January 1967 (aged 23),17,Sparta Prague
21,21,1GK,Luděk Mikloško,(1961-12-09)9 December 1961 (aged 28),32,West Ham United
22,22,1GK,Peter Palúch,(1958-02-17)17 February 1958 (aged 32),0,Plastika Nitra
