0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Peter Shilton,(1949-09-18)18 September 1949 (aged 40),118,Derby County
2,2,2DF,Gary Stevens,(1963-03-27)27 March 1963 (aged 27),39,Rangers
3,3,2DF,Stuart Pearce,(1962-04-24)24 April 1962 (aged 28),24,Nottingham Forest
4,4,3MF,Neil Webb,(1963-07-30)30 July 1963 (aged 26),19,Manchester United
5,5,2DF,Des Walker,(1965-11-26)26 November 1965 (aged 24),18,Nottingham Forest
6,6,2DF,Terry Butcher,(1958-12-28)28 December 1958 (aged 31),72,Rangers
7,7,3MF,Bryan Robson (c),(1957-01-11)11 January 1957 (aged 33),85,Manchester United
8,8,3MF,Chris Waddle,(1960-12-14)14 December 1960 (aged 29),52,Marseille
9,9,4FW,Peter Beardsley,(1961-01-18)18 January 1961 (aged 29),40,Liverpool
10,10,4FW,Gary Lineker,(1960-11-30)30 November 1960 (aged 29),51,Tottenham Hotspur
11,11,3MF,John Barnes,(1963-11-07)7 November 1963 (aged 26),53,Liverpool
12,12,2DF,Paul Parker,(1964-04-04)4 April 1964 (aged 26),5,Queens Park Rangers
13,13,1GK,Chris Woods,(1959-11-14)14 November 1959 (aged 30),16,Rangers
14,14,2DF,Mark Wright,(1963-08-01)1 August 1963 (aged 26),24,Derby County
15,15,2DF,Tony Dorigo,(1965-12-31)31 December 1965 (aged 24),3,Chelsea
16,16,3MF,Steve McMahon,(1961-08-20)20 August 1961 (aged 28),12,Liverpool
17,17,3MF,David Platt,(1966-06-10)10 June 1966 (aged 23),5,Aston Villa
18,18,3MF,Steve Hodge,(1962-10-25)25 October 1962 (aged 27),22,Nottingham Forest
19,19,3MF,Paul Gascoigne,(1967-05-27)27 May 1967 (aged 23),11,Tottenham Hotspur
20,20,3MF,Trevor Steven,(1963-09-21)21 September 1963 (aged 26),26,Rangers
21,21,4FW,Steve Bull,(1965-03-28)28 March 1965 (aged 25),7,Wolverhampton Wanderers
22,22,1GK,David Seaman*,(1963-09-19)19 September 1963 (aged 26),3,Queens Park Rangers
