0,No.,Pos.,Player,Date of birth (age),Caps,Club
1,1,1GK,Hans van Breukelen,(1956-10-04)4 October 1956 (aged 33),52,PSV
2,2,2DF,Berry van Aerle,(1962-12-08)8 December 1962 (aged 27),22,PSV
3,3,3MF,Frank Rijkaard,(1962-09-30)30 September 1962 (aged 27),42,Milan
4,4,2DF,Ronald Koeman,(1963-03-21)21 March 1963 (aged 27),43,Barcelona
5,5,2DF,Adri van Tiggelen,(1957-06-16)16 June 1957 (aged 32),40,Anderlecht
6,6,3MF,Jan Wouters,(1960-07-17)17 July 1960 (aged 29),30,Ajax
7,7,3MF,Erwin Koeman,(1961-09-20)20 September 1961 (aged 28),23,Mechelen
8,8,3MF,Gerald Vanenburg,(1964-03-05)5 March 1964 (aged 26),36,PSV
9,9,4FW,Marco van Basten,(1964-10-31)31 October 1964 (aged 25),35,Milan
10,10,3MF,Ruud Gullit (c),(1962-09-01)1 September 1962 (aged 27),44,Milan
11,11,3MF,Richard Witschge,(1969-09-20)20 September 1969 (aged 20),4,Ajax
12,12,4FW,Wim Kieft,(1962-11-12)12 November 1962 (aged 27),27,PSV
13,13,2DF,Graeme Rutjes,(1960-03-26)26 March 1960 (aged 30),7,Mechelen
14,14,4FW,John van 't Schip,(1963-11-30)30 November 1963 (aged 26),22,Ajax
15,15,4FW,Bryan Roy,(1970-02-12)12 February 1970 (aged 20),2,Ajax
16,16,1GK,Joop Hiele,(1958-12-25)25 December 1958 (aged 31),6,Feyenoord
17,17,4FW,Hans Gillhaus,(1963-11-05)5 November 1963 (aged 26),2,Aberdeen
18,18,2DF,Henk Fraser,(1966-07-07)7 July 1966 (aged 23),2,Roda JC
19,19,4FW,John van Loen,(1965-02-04)4 February 1965 (aged 25),6,Roda JC
20,20,3MF,Aron Winter,(1967-03-01)1 March 1967 (aged 23),11,Ajax
21,21,2DF,Danny Blind,(1961-08-01)1 August 1961 (aged 28),5,Ajax
22,22,1GK,Stanley Menzo,(1963-10-15)15 October 1963 (aged 26),1,Ajax
